c1	c2	rang	count	percent
x	)	613	22	0.002
/	l	614	22	0.002
n	m	615	22	0.002
x	"	616	22	0.002
k	,	617	22	0.002
"	b	618	22	0.002
ç	à	619	22	0.002
.	,	620	22	0.002
e	=	621	22	0.002
u	z	622	22	0.002
e	_	623	22	0.002
/	f	624	21	0.002
p	/	625	21	0.002
o	)	626	20	0.002
v	.	627	20	0.002
l	-	628	20	0.002
y	-	629	20	0.002
r	k	630	20	0.002
/	o	631	20	0.002
b	,	632	20	0.002
z	é	633	20	0.002
l	v	634	20	0.002
.	g	635	20	0.002
h	.	636	20	0.002
"	v	637	20	0.002
»	,	638	20	0.002
x	f	639	20	0.002
e	k	640	19	0.002
.	d	641	19	0.002
w	o	642	19	0.002
u	k	643	19	0.002
(	n	644	19	0.002
z	u	645	19	0.002
t	z	646	19	0.002
"	i	647	19	0.002
/	n	648	19	0.002
e	»	649	19	0.002
d	t	650	18	0.001
s	w	651	18	0.001
/	g	652	18	0.001
ç	'	653	18	0.001
(	"	654	18	0.001
m	)	655	18	0.001
d	y	656	18	0.001
t	w	657	17	0.001
k	l	658	17	0.001
"	g	659	17	0.001
(	b	660	17	0.001
b	.	661	17	0.001
f	-	662	17	0.001
a	"	663	17	0.001
y	'	664	17	0.001
b	m	665	17	0.001
r	z	666	17	0.001
.	i	667	17	0.001
@	a	668	17	0.001
_	a	669	16	0.001
(	à	670	16	0.001
s	*	671	16	0.001
/	b	672	16	0.001
t	@	673	16	0.001
.	b	674	16	0.001
c	-	675	16	0.001
b	d	676	16	0.001
(	u	677	16	0.001
l	f	678	16	0.001
l	r	679	15	0.001
(	r	680	15	0.001
o	é	681	15	0.001
-	h	682	15	0.001
o	k	683	15	0.001
d	)	684	14	0.001
(	f	685	14	0.001
/	e	686	14	0.001
p	d	687	14	0.001
f	è	688	14	0.001
s	@	689	14	0.001
.	m	690	14	0.001
d	_	691	14	0.001
p	-	692	14	0.001
.	t	693	13	0.001
g	)	694	13	0.001
p	b	695	13	0.001
e	(	696	13	0.001
"	n	697	13	0.001
"	u	698	13	0.001
d	f	699	13	0.001
a	)	700	13	0.001
r	'	701	13	0.001
g	-	702	13	0.001
t	j	703	13	0.001
c	p	704	13	0.001
-	q	705	13	0.001
'	"	706	12	0.001
b	v	707	12	0.001
g	y	708	12	0.001
/	r	709	12	0.001
n	/	710	12	0.001
s	k	711	12	0.001
x	o	712	12	0.001
t	n	713	11	0.001
s	_	714	11	0.001
i	j	715	11	0.001
h	-	716	11	0.001
"	h	717	11	0.001
t	g	718	11	0.001
r	h	719	11	0.001
x	u	720	11	0.001
w	p	721	11	0.001
.	u	722	11	0.001
a	é	723	11	0.001
k	s	724	11	0.001
p	c	725	11	0.001
"	o	726	11	0.001
'	s	727	11	0.001
k	o	728	11	0.001
o	"	729	10	0.001
y	/	730	10	0.001
o	è	731	10	0.001
c	f	732	10	0.001
»	.	733	10	0.001
b	)	734	10	0.001
k	.	735	10	0.001
.	r	736	10	0.001
b	c	737	10	0.001
y	g	738	10	0.001
p	m	739	10	0.001
d	=	740	10	0.001
.	z	741	10	0.001
n	@	742	9	0.001
"	é	743	9	0.001
p	g	744	9	0.001
x	h	745	9	0.001
l	k	746	9	0.001
-	g	747	9	0.001
s	d	748	9	0.001
c	)	749	9	0.001
l	n	750	9	0.001
/	t	751	9	0.001
(	g	752	9	0.001
s	r	753	9	0.001
/	j	754	9	0.001
s	v	755	8	0.001
p	)	756	8	0.001
d	"	757	8	0.001
(	é	758	8	0.001
i	_	759	8	0.001
_	p	760	8	0.001
p	n	761	8	0.001
à	)	762	8	0.001
'	c	763	8	0.001
y	b	764	8	0.001
ç	^d	765	8	0.001
q	l	766	8	0.001
é	ç	767	8	0.001
_	v	768	8	0.001
c	n	769	8	0.001
k	t	770	8	0.001
*	,	771	7	0.001
e	*	772	7	0.001
k	u	773	7	0.001
c	d	774	7	0.001
"	j	775	7	0.001
_	d	776	7	0.001
m	"	777	7	0.001
y	)	778	7	0.001
i	h	779	7	0.001
n	(	780	7	0.001
,	.	781	7	0.001
c	/	782	7	0.001
-	é	783	7	0.001
"	à	784	7	0.001
b	è	785	7	0.001
.	j	786	7	0.001
h	s	787	7	0.001
ˇd	e	788	7	0.001
k	y	789	7	0.001
c	"	790	7	0.001
w	h	791	7	0.001
k	-	792	6	0.000
'	p	793	6	0.000
y	"	794	6	0.000
u	)	795	6	0.000
@	b	796	6	0.000
+	n	797	6	0.000
.	k	798	6	0.000
e	@	799	6	0.000
d	j	800	6	0.000
v	p	801	6	0.000
"	q	802	6	0.000
v	y	803	6	0.000
s	g	804	6	0.000
s	»	805	6	0.000
d	n	806	6	0.000
@	p	807	6	0.000
a	/	808	6	0.000
_	s	809	5	0.000
g	=	810	5	0.000
a	w	811	5	0.000
@	l	812	5	0.000
@	f	813	5	0.000
*	.	814	5	0.000
g	"	815	5	0.000
b	-	816	5	0.000
m	c	817	5	0.000
z	è	818	5	0.000
p	w	819	5	0.000
,	"	820	5	0.000
ˇd	a	821	5	0.000
«	d	822	5	0.000
ˇd	u	823	5	0.000
t	b	824	5	0.000
e	'	825	5	0.000
(	w	826	5	0.000
s	x	827	5	0.000
,	»	828	5	0.000
m	@	829	5	0.000
d	l	830	5	0.000
-	(	831	5	0.000
/	h	832	5	0.000
i	*	833	5	0.000
z	d	834	5	0.000
=	f	835	5	0.000
n	»	836	5	0.000
m	-	837	5	0.000
h	"	838	5	0.000
.	x	839	5	0.000
@	n	840	5	0.000
n	p	841	5	0.000
h	)	842	5	0.000
h	d	843	4	0.000
/	v	844	4	0.000
s	j	845	4	0.000
_	c	846	4	0.000
*	l	847	4	0.000
x	v	848	4	0.000
*	b	849	4	0.000
.	w	850	4	0.000
(	.	851	4	0.000
g	c	852	4	0.000
k	b	853	4	0.000
r	_	854	4	0.000
l	z	855	4	0.000
n	*	856	4	0.000
s	=	857	4	0.000
é	(	858	4	0.000
v	-	859	4	0.000
g	p	860	4	0.000
m	+	861	4	0.000
x	b	862	4	0.000
/	)	863	4	0.000
t	(	864	4	0.000
k	m	865	4	0.000
t	x	866	4	0.000
_	b	867	4	0.000
y	d	868	4	0.000
t	*	869	4	0.000
z	y	870	4	0.000
i	/	871	4	0.000
j	i	872	4	0.000
r	j	873	4	0.000
